City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Mananara,MG,75.0,light rain,-16.1667,49.7667,Chez Roger
226,Kavaratti,IN,83.32,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
227,Kieta,PG,85.3,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
230,Urucara,BR,75.92,broken clouds,-2.5364,-57.76,Hotel japa
231,Cayenne,GF,81.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
233,Bara,NG,75.88,overcast clouds,10.3744,10.7288,
238,Punta De Piedra,VE,75.54,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
240,Soyo,AO,79.43,overcast clouds,-6.1349,12.3689,Hotel Mpampa
243,Merauke,ID,82.24,broken clouds,-8.4667,140.3333,PC
247,Neiafu,TO,86.0,scattered clouds,-18.65,-173.9833,Mystic Sands
249,Puri,IN,80.6,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
253,Manicore,BR,75.43,moderate rain,-5.8092,-61.3003,Hotel Durval
255,Lanuza,PH,80.47,light rain,9.2342,126.0644,Babak Bungalows Surf and Yoga Resort
256,San Patricio,US,77.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
269,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
