City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
130,Ghanzi,BW,-21.5667,21.7833,72.34,44,18,5.03,few clouds,2021-04-04 23:16:08
131,Mar Del Plata,AR,-38.0023,-57.5575,69.01,88,40,9.22,scattered clouds,2021-04-04 23:15:51
132,Cordoba,AR,-31.4135,-64.1811,73.0,77,0,6.91,clear sky,2021-04-04 23:13:45
133,Hasaki,JP,35.7333,140.8333,61.0,100,75,6.91,mist,2021-04-04 23:16:06
134,Dubbo,AU,-32.25,148.6167,66.2,72,2,9.22,clear sky,2021-04-04 23:14:29
135,Solano,US,38.2333,-121.9511,69.01,40,20,9.22,few clouds,2021-04-04 23:16:08
136,Yaan,NG,7.3833,8.5667,88.2,32,84,4.34,broken clouds,2021-04-04 23:16:09
137,Sulangan,PH,11.1373,123.7228,81.86,67,95,11.36,overcast clouds,2021-04-04 23:16:09
138,Chitipa,MW,-9.7024,33.2697,61.07,98,61,2.28,broken clouds,2021-04-04 23:16:09
139,Shuangcheng,CN,45.35,126.2833,44.01,48,0,8.95,clear sky,2021-04-04 23:16:10
140,Taltal,CL,-25.4,-70.4833,64.94,80,20,0.92,few clouds,2021-04-04 23:16:11
141,Tamandare,BR,-8.7597,-35.1047,78.85,80,21,7.67,few clouds,2021-04-04 23:16:11
142,Griffith,US,41.5284,-87.4237,75.2,31,1,12.66,clear sky,2021-04-04 23:16:11
143,Kilis,TR,36.7161,37.115,48.2,71,0,4.65,clear sky,2021-04-04 23:16:12
144,Alice Springs,AU,-23.7,133.8833,64.4,55,0,5.75,clear sky,2021-04-04 23:12:14
145,Cockburn Town,TC,21.4612,-71.1419,74.14,73,98,25.01,overcast clouds,2021-04-04 23:16:12
146,Tocopilla,CL,-22.092,-70.1979,69.26,74,81,5.75,broken clouds,2021-04-04 23:11:53
147,Guerrero Negro,MX,27.9769,-114.0611,67.24,62,2,19.6,clear sky,2021-04-04 23:13:49
148,Kesinga,IN,20.2,83.2333,77.29,52,0,1.63,clear sky,2021-04-04 23:16:13
149,Pacasmayo,PE,-7.4006,-79.5714,73.53,72,28,12.68,scattered clouds,2021-04-04 23:16:13
150,Yulara,AU,-25.2406,130.9889,71.6,35,0,9.22,clear sky,2021-04-04 23:16:13
151,Carnarvon,AU,-24.8667,113.6333,75.2,83,12,14.97,few clouds,2021-04-04 23:16:14
152,Buin,CL,-33.7333,-70.75,68.0,67,40,11.5,scattered clouds,2021-04-04 23:16:14
153,Olympia,US,47.0379,-122.9007,54.0,32,90,13.8,overcast clouds,2021-04-04 23:11:28
154,Tiarei,PF,-17.5333,-149.3333,86.0,66,20,3.44,few clouds,2021-04-04 23:16:14
155,Rudbar,AF,30.15,62.6,67.23,23,100,12.41,overcast clouds,2021-04-04 23:16:15
156,Biloela,AU,-24.4167,150.5,69.48,90,100,11.25,light rain,2021-04-04 23:16:16
157,Slave Lake,CA,55.2834,-114.769,41.0,70,75,4.61,broken clouds,2021-04-04 23:15:19
158,Buala,SB,-8.145,159.5921,84.49,73,87,4.18,overcast clouds,2021-04-04 23:16:16
159,Longyearbyen,SJ,78.2186,15.6401,23.0,68,75,31.07,broken clouds,2021-04-04 23:16:17
160,Morondava,MG,-20.2833,44.2833,75.67,84,37,8.16,scattered clouds,2021-04-04 23:16:17
161,Lhokseumawe,ID,5.1801,97.1507,77.88,85,99,3.78,overcast clouds,2021-04-04 23:11:37
162,Codrington,AU,-38.2667,141.9667,61.3,58,80,9.15,broken clouds,2021-04-04 23:16:11
163,Abashiri,JP,44.0213,144.2697,37.4,70,75,10.36,broken clouds,2021-04-04 23:16:18
164,Tabuk,PH,17.4189,121.4443,74.77,81,40,3.33,scattered clouds,2021-04-04 23:16:18
165,Blythe,US,33.6103,-114.5964,98.01,3,30,4.0,scattered clouds,2021-04-04 23:16:19
166,Grand Island,US,40.925,-98.342,87.8,19,1,14.97,clear sky,2021-04-04 23:15:35
167,Saint-Paul,RE,-21.0096,55.2707,78.8,78,10,12.66,clear sky,2021-04-04 23:16:19
168,Pilikwe,BW,-22.799,27.1938,63.91,78,0,4.61,clear sky,2021-04-04 23:16:20
169,Clovis,US,36.8252,-119.7029,75.99,35,75,4.61,broken clouds,2021-04-04 23:15:17
170,Talnakh,RU,69.4865,88.3972,4.33,70,100,11.59,overcast clouds,2021-04-04 23:16:21
171,Tarija,BO,-21.5355,-64.7296,66.2,77,75,5.75,broken clouds,2021-04-04 23:13:25
172,Mucurapo,TT,10.6667,-61.5333,82.0,78,20,6.91,few clouds,2021-04-04 23:16:21
173,Ust-Nera,RU,64.5667,143.2,4.55,91,100,7.92,overcast clouds,2021-04-04 23:16:22
174,Khani,GE,41.9563,42.9566,53.6,76,75,2.3,broken clouds,2021-04-04 23:16:22
175,Airai,TL,-8.9266,125.4092,60.8,94,100,3.15,light rain,2021-04-04 23:16:22
